no,name,major,in_year,email
20265443,한지호,심리학과,2026,user20265443@naver.com
20259750,정민준,전자공학과,2025,user20259750@outlook.com
20266307,박민준,컴퓨터공학과,2026,user20266307@outlook.com
20233950,임서연,시각디자인학과,2023,user20233950@naver.com
20257906,임지우,시각디자인학과,2025,user20257906@outlook.com
20237801,정서윤,전자공학과,2023,user20237801@naver.com
20267108,최지아,시각디자인학과,2026,user20267108@naver.com
20255631,강하준,심리학과,2025,user20255631@outlook.com
20263063,서민지,심리학과,2026,user20263063@daum.net
20243918,권우진,컴퓨터공학과,2024,user20243918@naver.com
20261838,권서윤,경영학과,2026,user20261838@outlook.com
20233348,최윤아,시각디자인학과,2023,user20233348@daum.net
20246313,조윤아,시각디자인학과,2024,user20246313@naver.com
20235350,이서현,컴퓨터공학과,2023,user20235350@daum.net
20255118,임채원,컴퓨터공학과,2025,user20255118@daum.net
20248794,장건우,경영학과,2024,user20248794@gmail.com
20252372,장건우,전자공학과,2025,user20252372@daum.net
20242550,한하은,시각디자인학과,2024,user20242550@naver.com
20252172,강지윤,심리학과,2025,user20252172@naver.com
20239129,강지호,심리학과,2023,user20239129@gmail.com
20252028,최윤아,심리학과,2025,user20252028@naver.com
20249500,이준우,컴퓨터공학과,2024,user20249500@daum.net
20265977,권서연,컴퓨터공학과,2026,user20265977@gmail.com
20234870,강건우,컴퓨터공학과,2023,user20234870@outlook.com
20253002,장지우,경영학과,2025,user20253002@gmail.com
20247807,권지우,심리학과,2024,user20247807@outlook.com
20255828,서현우,컴퓨터공학과,2025,user20255828@naver.com
20247083,박지윤,심리학과,2024,user20247083@outlook.com
20257289,권지아,경영학과,2025,user20257289@daum.net
20243420,서우진,시각디자인학과,2024,user20243420@outlook.com
20235425,정민지,시각디자인학과,2023,user20235425@gmail.com
20268300,임우진,컴퓨터공학과,2026,user20268300@gmail.com
20252251,신윤아,시각디자인학과,2025,user20252251@gmail.com
20262104,정서윤,컴퓨터공학과,2026,user20262104@outlook.com
20236910,박건우,컴퓨터공학과,2023,user20236910@outlook.com
20266745,임서현,컴퓨터공학과,2026,user20266745@daum.net
20235800,장현우,심리학과,2023,user20235800@daum.net
20256169,장도윤,컴퓨터공학과,2025,user20256169@daum.net
20234918,서하은,전자공학과,2023,user20234918@outlook.com
20249388,정서연,경영학과,2024,user20249388@daum.net
20243901,이건우,전자공학과,2024,user20243901@gmail.com
20238281,임하준,전자공학과,2023,user20238281@gmail.com
20255385,권현우,시각디자인학과,2025,user20255385@outlook.com
