no,name,phone,major_no
25610001,권수아,01033140001,006
25510002,조서연,01043460002,002
26650003,오도윤,01099500003,007
24950004,이하은,01033560004,005
24630005,조지우,01022660005,004
24680006,권민준,01078220006,004
25580007,이서연,01035780007,009
24510008,장하은,01036630008,003
24670009,장현우,01034930009,006
24650010,한하은,01073940010,005
24740011,신준우,01028360011,006
24390012,권민준,01081120012,003
26420013,강지호,01080390013,002
26810014,이준우,01046790014,009
26720015,조성현,01037300015,005
24630016,강도윤,01085980016,001
26410017,신예준,01032190017,001
24920018,윤예준,01066690018,004
25440019,정윤아,01069110019,002
26290020,최수아,01072040020,009
26980021,김준우,01095450021,002
25100022,박지우,01043140022,004
25800023,이현우,01094680023,001
24950024,장도윤,01065850024,004
25700025,조윤아,01020270025,001
24800026,정하은,01055090026,004
26660027,이수아,01090060027,008
24330028,이현우,01084400028,009
25280029,조채원,01054000029,004
25640030,신지호,01059030030,004
25630031,최준우,01027560031,007
26450032,오지호,01084180032,010
26920033,최지호,01087330033,008
26830034,정수아,01047080034,003
26800035,한채원,01092920035,005
24650036,박현우,01048100036,008
24790037,서지호,01044610037,006
24760038,장하은,01044280038,002
25190039,김윤아,01061790039,004
26230040,윤예준,01061040040,004
24780041,조현우,01036430041,003
24780042,박민준,01094490042,007
24860043,박민지,01021240043,002
25580044,강도윤,01025870044,001
25270045,박수아,01057620045,001
26610046,최지우,01024890046,005
25800047,최윤아,01065530047,006
24820048,서예준,01098730048,004
24600049,정준우,01090110049,007
24110050,서주원,01044080050,010
25630051,최지호,01020600051,003
24320052,정예준,01080860052,005
24100053,강지우,01041810053,010
24560054,한윤아,01038870054,003
26600055,윤도윤,01096820055,010
25760056,한도윤,01072330056,001
26380057,오지우,01035320057,010
25280058,이지호,01085580058,007
25740059,조주원,01034030059,004
24900060,조수아,01095940060,001
26150061,박윤아,01069230061,010
24480062,정수아,01034920062,001
24120063,이예준,01078110063,006
25510064,이지우,01095110064,002
25860065,김민준,01037810065,008
25820066,김지호,01039100066,002
25490067,장수아,01020360067,004
26570068,임수아,01059550068,008
25120069,장민준,01047780069,009
25150070,오도윤,01066190070,001
24120071,신성현,01063980071,002
26560072,정지우,01024110072,005
24210073,김민준,01098390073,002
24870074,권윤아,01077490074,010
25370075,서성현,01033430075,002
25230076,오예준,01043440076,008
26340077,장민지,01054890077,001
25290078,신성현,01074730078,007
24360079,정윤아,01055090079,010
26850080,신수아,01043440080,003
24230081,오준우,01082500081,004
25140082,신채원,01086050082,007
26500083,이예준,01092350083,007
26430084,서예준,01090560084,009
26510085,강민준,01063260085,009
26980086,신민준,01053960086,008
24510087,윤민지,01067520087,004
26770088,신성현,01029100088,004
25960089,임민준,01095950089,006
24220090,장준우,01092480090,003
25840091,오지호,01040910091,008
24760092,한서연,01068440092,003
25510093,김지우,01097780093,007
25610094,오성현,01077580094,004
24190095,윤주원,01088620095,005
26280096,장성현,01034060096,001
26100097,이현우,01075570097,010
25260098,권지호,01086310098,002
26440099,한수아,01055240099,005
24410100,조민준,01053170100,006
24300101,조지호,01038000101,005
26810102,임하은,01065470102,007
25120103,박지우,01078140103,003
26760104,강서연,01072610104,007
26230105,최수아,01059580105,009
26340106,이하은,01076280106,010
24220107,조주원,01020870107,002
26530108,권수아,01095800108,005
26770109,장지호,01024290109,005
24440110,임성현,01031290110,002
25470111,강서연,01031610111,007
24140112,권현우,01063670112,010
24220113,강민지,01095990113,007
24460114,권도윤,01064500114,007
24680115,박민준,01061970115,005
24580116,윤현우,01096430116,001
26910117,박민지,01062900117,002
24220118,박현우,01065650118,009
25820119,박하은,01096290119,007
25150120,한현우,01097640120,002
24490121,임준우,01045170121,003
26860122,김민준,01081070122,008
24970123,오민준,01026660123,004
25390124,신하은,01084480124,006
25440125,최민지,01048860125,008
25490126,신윤아,01063600126,003
26580127,오채원,01035190127,004
26380128,한서연,01086090128,001
24310129,김현우,01028720129,007
24400130,윤성현,01033800130,008
26250131,정지우,01036570131,007
26460132,이지우,01099160132,002
26660133,박현우,01064310133,002
24270134,장준우,01078140134,004
25380135,장민지,01042240135,007
25380136,조민지,01095440136,004
24280137,강민준,01079300137,006
25980138,조서연,01076440138,007
25500139,서준우,01058180139,004
24410140,임민지,01079160140,003
26670141,오준우,01067960141,010
26730142,이주원,01092660142,006
24130143,윤현우,01059510143,007
24800144,김민지,01096450144,007
25150145,오지우,01065500145,005
24390146,한서연,01021860146,003
24460147,장하은,01073560147,007
25520148,김민준,01080240148,008
24840149,강성현,01077560149,010
24100150,김지우,01029630150,006
25370151,장성현,01090770151,001
25490152,임성현,01072700152,002
26210153,권수아,01033700153,010
26110154,한예준,01025760154,006
24310155,박채원,01036640155,005
24100156,강지우,01047200156,008
25860157,김하은,01022540157,003
26690158,윤주원,01058340158,005
24890159,강주원,01044740159,008
24450160,박현우,01088660160,004
24210161,신예준,01046540161,004
24250162,한현우,01055310162,009
25990163,조도윤,01058150163,001
25700164,서현우,01036310164,010
24310165,한윤아,01030310165,002
24280166,윤수아,01088140166,008
26120167,박하은,01025380167,003
24560168,신민준,01065730168,007
24620169,최하은,01047900169,010
24480170,임현우,01078860170,006
26990171,임윤아,01074110171,003
24100172,윤주원,01063030172,006
24450173,김성현,01032080173,008
25500174,윤서연,01023940174,005
24980175,권지호,01026250175,001
25190176,서하은,01054220176,005
24450177,장지호,01077990177,010
24720178,신윤아,01058670178,009
24770179,서성현,01088820179,001
25200180,권민지,01071260180,010
25160181,신수아,01058870181,001
25210182,강성현,01099530182,002
24220183,조서연,01048620183,002
26400184,한지호,01047000184,005
25670185,권성현,01026810185,002
24230186,장수아,01057620186,006
24280187,권현우,01066960187,008
26240188,임수아,01022620188,002
25520189,강도윤,01079220189,001
25190190,임도윤,01046000190,005
26300191,정하은,01095410191,010
26270192,장현우,01092740192,007
25310193,윤현우,01043610193,005
25810194,김현우,01047550194,010
25120195,서도윤,01083720195,008
24220196,장준우,01097850196,005
26270197,최민지,01055160197,006
24390198,정예준,01027750198,007
24700199,오서연,01030110199,006
26870200,한현우,01039250200,001
